X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE
-75.1528358316479,39.9427206691233,130,Starr Garden Playground,1957,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1593083295971,39.9436183355252,131,Charles T Mitchell Jr (Seger) Park,1951,PPR_REC,B,Y,N,,"Building is named for Charles Seger (1977); Site is named for Charles T Mitchell Jr (1976).",Programs 11/2022
-75.1832725224868,39.9479946091986,132,William H (Billy) Markward Memorial Playground,1903,PPR_REC,B,Y,N,,Located within Schuylkill River Park,Programs 11/2022
-75.2491030278968,39.9581963178396,133,Johnny Sample Recreation Center,1836,PPR_REC,A,Y,Y,,Located in Cobbs Creek Park,Programs 11/2022
-75.2107278963019,39.9616640045616,134,John A Lee Cultural Center,1892,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2230245249974,39.967466784783,135,West Mill Creek,1970,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2341796542888,39.9672698620018,136,Haddington-Marshall L Shepard Sr Recreation Center,1952,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.1511521250283,39.9667964598499,137,East Poplar Playground,1851,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.2127062711248,39.9792515301356,138,Carousel House Recreation Center,1824,PPR_REC,A,Y,Y,,Located in West Fairmount Park. Currently closed for Rebuild.,Programs 11/2022
-75.1351096773182,39.9783989447246,139,Michael J Towey Playground,1964,PPR_REC,B,Y,Y,, ,Programs 11/2022
-75.1953615128693,39.9816113670216,140,Smith Memorial Playground and Playhouse,1955,NON_PPR_REC,D,Y,N,,"Located in East Fairmount Park. Programmed by Smith Memorial Trust, Wells Fargo Trustee.",Programs 11/2022
-75.1878030267541,39.9897819107031,141,Joseph E Mander Playground,1900,PPR_REC,B,Y,N,,Located in East Fairmount Park,Programs 11/2022
-75.1867696891675,40.008796341514,142,Harry S McDevitt Playground,1906,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.166272168354,40.0236931950372,143,Happy Hollow Recreation Center,1868,PPR_REC,B,Y,Y,, ,Programs 11/2022
-75.0696199632461,40.0240137245522,144,Wissinoming Park,1973,PPR_REC,C,Y,N,, ,Programs 11/2022
-74.9982050727317,40.058979690821,145,Torresdale Recreation Center,68,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1786676990227,39.9779513582244,146,Athletic Recreation Center,1811,PPR_REC,A,Y,Y,, ,Programs 11/2022
-75.2511010108308,39.9044377394714,147,Eastwick Regional Playground,499,PPR_REC,B,Y,N,, ,Programs 11/2022
-75.1381864234813,39.9890713969406,148,Frank S Nelson Jr Memorial Recreation Center,1988,PPR_REC,B,Y,N,,2019-2020 Renovations,Programs 11/2022
-75.1049981121629,40.0147765429938,149,Joseph A Ferko Playground,1854,PPR_REC,C,Y,N,,,Programs 11/2022
