Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,PCT_SE_T009_002,PCT_SE_T009_003,PCT_SE_T009_004
"45F","Census Tract 45F, Philadelphia County, Pennsylvania","140","4210104506000","42","101",2118,2113,0,5,99.76,0,0.24
"45G","Census Tract 45G, Philadelphia County, Pennsylvania","140","4210104507000","42","101",9037,9033,0,4,99.96,0,0.04
"45H","Census Tract 45H, Philadelphia County, Pennsylvania","140","4210104508000","42","101",3151,3096,55,0,98.25,1.75,0
"45I","Census Tract 45I, Philadelphia County, Pennsylvania","140","4210104509000","42","101",7994,7978,16,0,99.8,0.2,0
"45J","Census Tract 45J, Philadelphia County, Pennsylvania","140","4210104510000","42","101",1219,1184,35,0,97.13,2.87,0
"45K","Census Tract 45K, Philadelphia County, Pennsylvania","140","4210104511000","42","101",21,21,0,0,100,0,0
"46A","Census Tract 46A, Philadelphia County, Pennsylvania","140","4210104601000","42","101",8982,8789,186,7,97.85,2.07,0.08
"46B","Census Tract 46B, Philadelphia County, Pennsylvania","140","4210104602000","42","101",10548,9900,638,10,93.86,6.05,0.09
"46C","Census Tract 46C, Philadelphia County, Pennsylvania","140","4210104603000","42","101",8259,7665,585,9,92.81,7.08,0.11
"46D","Census Tract 46D, Philadelphia County, Pennsylvania","140","4210104604000","42","101",15169,15147,13,9,99.85,0.09,0.06
"46E","Census Tract 46E, Philadelphia County, Pennsylvania","140","4210104605000","42","101",11151,11094,49,8,99.49,0.44,0.07
"46F","Census Tract 46F, Philadelphia County, Pennsylvania","140","4210104606000","42","101",13191,13180,7,4,99.92,0.05,0.03
"46G","Census Tract 46G, Philadelphia County, Pennsylvania","140","4210104607000","42","101",6655,6639,3,13,99.76,0.05,0.2
"46H","Census Tract 46H, Philadelphia County, Pennsylvania","140","4210104608000","42","101",5874,5810,64,0,98.91,1.09,0
"46I","Census Tract 46I, Philadelphia County, Pennsylvania","140","4210104609000","42","101",5893,5781,108,4,98.1,1.83,0.07
"46J","Census Tract 46J, Philadelphia County, Pennsylvania","140","4210104610000","42","101",0,0,0,0,,,
"47A","Census Tract 47A, Philadelphia County, Pennsylvania","140","4210104701000","42","101",13686,8447,5220,19,61.72,38.14,0.14
"47B","Census Tract 47B, Philadelphia County, Pennsylvania","140","4210104702000","42","101",5108,505,4598,5,9.89,90.02,0.1
"47C","Census Tract 47C, Philadelphia County, Pennsylvania","140","4210104703000","42","101",10678,3426,7249,3,32.08,67.89,0.03
"47D","Census Tract 47D, Philadelphia County, Pennsylvania","140","4210104704000","42","101",2486,1327,1155,4,53.38,46.46,0.16
"48A","Census Tract 48A, Philadelphia County, Pennsylvania","140","4210104801000","42","101",18950,18874,67,9,99.6,0.35,0.05
"48B","Census Tract 48B, Philadelphia County, Pennsylvania","140","4210104802000","42","101",2881,2881,0,0,100,0,0
